Topic,Size,Top_10_Keywords
0,5522,to | and | the | in | for | of | my | it | but | be
1,129,to | luggage | and | for | bag | the | it | carry | my | that
2,60,shoes | shoe | boots | for | and | walking | to | be | sandals | wear
3,42,hair | it | products | and | to | my | for | the | with | have
4,31,esim | data | phone | sim | for | you | use | to | an | and
5,19,photos | camera | my | take | it | to | phone | iphone | and | selfie
6,19,period | my | cycle | the | and | it | after | on | is | your
7,15,insurance | travel | medical | health | for | delta | to | cover | have | and
8,14,birth | control | iud | the | my | to | pill | and | in | packaging
9,13,portland | the | and | oregon | hike | to | for | or | trip | it
10,12,passport | name | us | application | marriage | it | my | the | if | to
11,11,dog | road | dogs | with | my | to | and | not | for | the
12,11,the | guide | he | me | is | cancelled | getyourguide | deposit | library | and
